tag,actual,predicted,confidence,correct
ProceedsFromDispositionOfRealEstate,Cash Flow,Equity,0.3641138970851898,False
ConcentrationsZeroThreeFiveZeroNineFourZeroZeroSevenTwoxLfxFourPrTccb,Other,Cost,0.25045597553253174,False
ProceedsFromSaleVesselsToRelatedParties,Cash Flow,Revenue,0.3976227641105652,False
AssetRetirementObligationLiabilitiesRelatedToHeldForSale,Assets,Liabilities,0.6915996074676514,False
LoansandLeasesReceivableLoansinProcessandUnamortizedLoanCommitmentandOriginationFeesandUnamortizedDiscountsorPremiums,Assets,Liabilities,0.41641247272491455,False
ExtinguishmentofDebttodate,Liabilities,Cost,0.28128525614738464,False
CurrentPortionOfDeferredGainOnSaleLeaseback,Liabilities,Assets,0.21914801001548767,False
NetSalesPurchasesOfTradingSecurities,Revenue,Revenue,0.31622201204299927,True
NumberOfDevelopedMedicines,Other,Assets,0.21759308874607086,False
ScheduleOfAssetsAndLiabilitiesAtFairValueZeroThreeFiveZeroThreeFourZeroZeroOnesZeroFiveTOnewZeroTSixlCEight,Assets,Assets,0.379562646150589,True
CommonandPreferredStockSharesAuthorized,Equity,Assets,0.3220188617706299,False
AmortizationOfPremiumOnMarketableSecurities,Expenses,Cost,0.41536518931388855,False
PaymentsToAcquireRetainedInterestInSecuritizedReceivables,Assets,Revenue,0.2532898783683777,False
MinimumPercentShareOfEachStateAnnualizedBaseRentThatCompanyOwned,Other,Cost,0.33531951904296875,False
PercentageOfThresholdLimitForAmountSetAsideInReserveFundOfRegisteredCapital,Equity,Cost,0.2589041292667389,False
SavingDepositsAndMoneyMarketAccounts,Other,Assets,0.19332896173000336,False
MinorityInterestDecreaseFromDistributionsIncludingJointVentures,Other,Other,0.34684085845947266,True
Reversalofprioryearpatronageandredemptionestimates,Other,Revenue,0.32172533869743347,False
ServicingAssetatAmortizedCostAdditionsbyBusinessAcquisition,Assets,Assets,0.42923977971076965,True
StockBasedCompensationCommonStockAndOptionsGrantedToEmployeesAmount,Equity,Equity,0.373196542263031,True
ShareInGrossMargin,Other,Cost,0.34487101435661316,False
NonCashCollateralIssuedFinancialInstruments,Assets,Other,0.4955971837043762,False
LongTermDebtCurrentAndDebtInstrumentUnamortizedDiscount,Liabilities,Liabilities,0.3425348699092865,True
UnderOverDistributedEarningsAttributableToCommonUnitHolders,Other,Income,0.2693381905555725,False
ContingentPaymentObligationEstablishedForSaleOfProductInConnectionWithAcquisition,Liabilities,Cost,0.31442925333976746,False
ImpactofretrospectivelyadoptingnewaccountingguidanceonBenefitCosts,Expenses,Cost,0.8619301915168762,False
OtherPayableToRelatedPartiesTransferredToSubscribedCapital,Liabilities,Other,0.8607786893844604,False
AccrualForEnvironmentalLossContingenciesIncreaseDecreaseForCurrencyTranslationAndOther,Other,Other,0.8578445911407471,True
PercentageOfDiscountToAverageCommonStockPeriodPriorToConversion,Equity,Assets,0.2772979140281677,False
FairValueAssetNetDerivativeAssetLiabilityMeasuredOnRecurringBasisUnobservableInputsReconciliationSales,Revenue,Assets,0.6634982824325562,False
InventoryCurrentNoncurrent,Assets,Other,0.7313539385795593,False
NuclearFuel,Other,Cost,0.1747659593820572,False
ClassOfWarrantOrRightExpiredInPeriod,Other,Cost,0.16173581779003143,False
DerivativeAssetsNoncurrentGross,Assets,Assets,0.6632984280586243,True
DerivativeLiabilityNettingAdjustment,Liabilities,Liabilities,0.7679068446159363,True
CommonStockConversionPrincipalAmount,Equity,Cost,0.406897634267807,False
NumberOfOfficeBuildingsOwned,Other,Assets,0.615796685218811,False
CertificateOfferingMinimalInvestment,Assets,Cost,0.36158931255340576,False
PromissoryNoteCancelled,Other,Cost,0.37924209237098694,False
ProceedsReceivableFromFurnitureFixturesAndEquipmentDisposal,Assets,Revenue,0.482859343290329,False
CarriedInterest,Other,Equity,0.3000369071960449,False
SharesIssuesForServices,Equity,Equity,0.31752702593803406,True
AggregatesHeldForResaleInventory,Assets,Assets,0.48094114661216736,True
DeferredTaxAssetsNetOfRevenueRecognition,Revenue,Assets,0.6698417067527771,False
EarningsPerUnitBasic,Other,Income,0.4854258894920349,False
IncreaseRateAnnual,Other,Cost,0.27944043278694153,False
ProvisionForLoanLossesOnOriginatedLoansExpensed,Expenses,Expenses,0.7271438837051392,True
TaxBenefitExpenseFromShareBasedCompensationFinancingActivities,Expenses,Expenses,0.619953989982605,True
NumberOfOutstandingLettersOfCredit,Other,Equity,0.303009957075119,False
RentalProductNet,Other,Income,0.344758540391922,False
ReclassOfFairValueOfWarrantyLiabilityToCommonStockUponExerciseOfWarrants,Liabilities,Liabilities,0.3117002844810486,True
AccruedVacationAndBonus,Other,Assets,0.5200477242469788,False
FinancingReceivablewithNoRelatedAllowanceUnpaidPrincipalBalance,Assets,Other,0.3763304650783539,False
RealEstateNet,Other,Equity,0.3318255543708801,False
EventsCostOfRevenues,Revenue,Cost,0.4964193105697632,False
NumberOfVesselsInConstruction,Other,Assets,0.41293859481811523,False
SharebasedCompensationArrangementBySharebasedPaymentAwardEquityInstrumentsOtherThanOptionsOutstanding,Equity,Equity,0.5115926861763,True
InstantExchangeRateTwd,Other,Cost,0.22516685724258423,False
FormationLoanYearFive,Other,Cost,0.28734123706817627,False
ConversionOfRelatedPartyNoteToPreferredStock,Equity,Other,0.727362871170044,False
PayableForAcquisitionNonCurrent,Liabilities,Other,0.5528547763824463,False
CommonStockCapitalSharesReservedforFutureIssuanceStockWarrantsExercised,Equity,Equity,0.38640305399894714,True
UnrecognizedTaxBenefitsPeriodIncreaseDecrease,Other,Other,0.28387176990509033,True
EquityZeroThreeFiveThreeThreeZeroLdSkkpcPNmSixT,Equity,Equity,0.8487109541893005,True
Intercompanyassets,Assets,Assets,0.5771275162696838,True
OffBalanceSheetLoanCommitmentsEvaluatedForImpairment,Expenses,Other,0.4650754928588867,False
AccretionExpenseDueToGoldenPostPrefStock,Expenses,Expenses,0.5762984156608582,True
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsExpiredWeightedAverageExercisePrice,Equity,Equity,0.5151349902153015,True
VariableInterestEntityConsolidatedAssetsToSettlementObligationsExceptRegisteredCapital,Assets,Assets,0.7510505318641663,True
Totalassets,Assets,Assets,0.8516594767570496,True
NumberofVariableInterestJointVentures,Other,Assets,0.22622883319854736,False
RelatedPartyBaseFeeDueAfterFifthYear,Other,Cost,0.4567011892795563,False
SignificantAccountingPoliciesZeroThreeFiveThreeSixZeroykTJStwCBPtFive,Other,Assets,0.20575691759586334,False
ClinicalTrialExpenses,Expenses,Expenses,0.6788093447685242,True
TaxAssessmentsWithInterest,Other,Revenue,0.3567329943180084,False
BankNotesDiscount,Other,Cost,0.3133530020713806,False
DebtInstrumentRepaymentRateRevenueContingencyThereafter,Revenue,Revenue,0.6438086628913879,True
NumberOfSecuritiesInContinuousUnrealizedLossPosition,Assets,Liabilities,0.34054064750671387,False
PeriodOverPriorYearPeriodPercentIncreaseDecreaseFeesAndOtherRevenue,Revenue,Revenue,0.41347426176071167,True
PreferredStockWarrantLiabilities,Liabilities,Liabilities,0.9382669925689697,True
InvestmentAccountedForByEquityMethod,Assets,Equity,0.7999136447906494,False
DisposalGroupIncludingDiscontinueOperationOperatingIncomeLoss,Income,Income,0.4345797598361969,True
ExerciceOfStockOptionPlanValue,Equity,Assets,0.2649056315422058,False
StockIssuedDuringPeriodValueConversionOfConvertibleSecurities1,Assets,Cost,0.4192177653312683,False
OtherIncomeTotal,Other,Other,0.6571586728096008,True
FixedConvertibleNotesPayableCurrent,Liabilities,Cost,0.3249788284301758,False
AdditionalPaidinCapitalSharePremiumAccount,Equity,Assets,0.4584066867828369,False
NumberOfSharesPreviouslyAccruedForButReversed,Equity,Other,0.1938525289297104,False
NoncashOrPartNoncashAcquisitionIntangibleAssetsAcquired,Assets,Assets,0.5662036538124084,True
InterestInJointVenture,Other,Income,0.2358899861574173,False
GainsLossesOnRepossessedAndForeclosedProperties,Other,Liabilities,0.35532134771347046,False
CertainLoansAcquiredInTransferNotAccountedForAsDebtSecuritiesAllowanceForLoanLossesReductionsFromPaymentsAndLiquidations,Assets,Liabilities,0.477672815322876,False
OtherThanTemporaryImpairmentLossesInvestmentsPortionRecognizedInEarningsNetDebtSecurities,Expenses,Other,0.7828138470649719,False
BuildingsFurnitureAndImprovements,Other,Assets,0.8426232933998108,False
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsAndStockAppreciationRightsCancelledInPeriodWeightedAverageExercisePrice,Equity,Cost,0.2377076894044876,False
UnearnedPremiumDirect,Other,Cost,0.16994807124137878,False
DepositsOfCashOutsideDomesticCountry,Assets,Other,0.4959245026111603,False
ExchangeRatioAmountGreater,Other,Cost,0.18629607558250427,False
CommonStockCapitalValueReservedForFutureIssuance,Equity,Equity,0.3997834324836731,True
AccountsPayableSettledWithRestrictedCash,Assets,Cost,0.2593642771244049,False
MarketValuationAdjustmentsNet,Other,Assets,0.18623359501361847,False
PercentageOfRevenueByMajorCustomer,Revenue,Revenue,0.7070817947387695,True
StockOptionsAndWarrantsZeroThreeFourNineOneZeromCzpREightTwoGXLQTwo,Equity,Revenue,0.29613369703292847,False
Note9Interest,Other,Other,0.2853694260120392,True
ProceedsFromIssuanceOfCommonStockDividendReinvestmentPlan,Assets,Assets,0.29546815156936646,True
IncreaseDecreaseInDepositsAndPrepaidExpenses,Expenses,Expenses,0.644763708114624,True
ClassOfWarrantOrRightJanuaryPrivatePlacement,Other,Other,0.21991227567195892,True
ConvertibleNotesPayableExcludingRelatedParties,Liabilities,Other,0.5669399499893188,False
Increaseintaxreceivableagreementliabilityrelatedtoquarterlyexchangebymemberownerssharebasedcompensation,Assets,Liabilities,0.6585511565208435,False
MajorSuppliersAndCustomersZeroThreeFourNineNineThreeNineNineEightrzTwoOneQFivefyzZeroMJ,Other,Assets,0.17661699652671814,False
GainsLossesAndProvisionsOnOtherRealEstate,Other,Other,0.6446492671966553,True
StockBasedCompensationZeroThreeFiveOneNineZeroDzFiveFivemSixcOneFTwSix,Equity,Cost,0.23421423137187958,False
DerivativeLiabilityCollateralRighttoReclaimSecuritiesandCashOffset,Assets,Liabilities,0.7612724900245667,False
MortgageLoanParticipationAndSaleAgreement,Other,Revenue,0.26010632514953613,False
ScheduleOfSharebasedCompensationStockOptionsActivityZeroThreeFourEightEightThreeNineEightNinexgdBGpyWFGwh,Equity,Equity,0.19005170464515686,True
NumberOfIndividualCustomersAccountingForMoreThanTenPercentOfRevenue,Revenue,Revenue,0.6281014084815979,True
OperatingCostsAndExpensesOtherThanDepreciationAndRestructuring,Expenses,Other,0.5126655101776123,False
DeferredGainOnSaleOfRealEstateCurrent,Liabilities,Assets,0.2947032153606415,False
RepurchasedSharesFromVestedStockAwards,Equity,Assets,0.4860855042934418,False
GainLossFromInvestmentActivitiesNet,Assets,Assets,0.2569495439529419,True
FinancialExpensesLoss,Expenses,Expenses,0.4332088530063629,True
InstallmentLoans,Other,Liabilities,0.5959519147872925,False
CostOfClinicalEngineeringSolutions,Other,Cost,0.7148997187614441,False
CumulativeNetOperatingLoss,Other,Cost,0.36577901244163513,False
CharterHireCommissionPercentage,Other,Cost,0.4065682291984558,False
IncreaseDecreaseInDueToRelatedParties,Other,Other,0.759049117565155,True
ScheduleOfSegmentReportingInformationBySegmentZeroThreeFiveOneNineZeroSevenThreecFivelHwCnDcC,Other,Other,0.19400201737880707,True
LimitedPartnersCapitalAccountUnitsInitiallyAuthorized,Equity,Assets,0.26237180829048157,False
LegalFeesLgCapitalFundingLlc2,Equity,Cost,0.5044184923171997,False
PrepaidSoftwareandSupport,Other,Cost,0.34659862518310547,False
Debenture2,Other,Cost,0.46703824400901794,False
PrivateEquityGeneralandAdministrativeExpensesAdvancedonBehalfofaFortressFunds,Expenses,Equity,0.5627604722976685,False
DeferredOrdinarySharesAuthorized,Liabilities,Equity,0.3440939486026764,False
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedAssetRetirementObligations,Assets,Liabilities,0.5213949680328369,False
ConversionsOfExchangeNotes,Other,Other,0.14878849685192108,True
ProceedsFromSaleOfConsumerLoansHeldForSale,Cash Flow,Revenue,0.72166907787323,False
FederalDepositInsuranceCorporationAndOtsoccAssessments,Other,Assets,0.2762692868709564,False
ConvertibleNotesPayablePrincipalBalanceConversions,Liabilities,Cost,0.15538233518600464,False
EquityZeroThreeFiveZeroNineFourZeroZeroSevenRPzwEightNineTPpLkG,Equity,Equity,0.8807840347290039,True
DeferredIncomeTaxRecovery,Liabilities,Income,0.6100655794143677,False
CommonStockZeroThreeFourNineEightZerocHpwgNinebQKFivepW,Equity,Assets,0.1893789917230606,False
DerivativeAssetBeforeEffectsOfMasterNettingArrangementsCurrent,Assets,Assets,0.8638413548469543,True
DeferredPolicyAcquisitionCostsPeriodIncreaseDecrease,Expenses,Cost,0.5786243081092834,False
GrossManagementFee,Other,Cost,0.48467114567756653,False
RestrictedCashRelatedtoProceedsfromLongtermDebt,Assets,Liabilities,0.3542363941669464,False
ScheduleOfSummaryOfConvertiblePromissoryNoteZeroThreeFiveThreeSixFourZeroThreeSixWFcdTwodFQBqcv,Other,Revenue,0.15609242022037506,False
PriorYearLossDevelopment,Other,Liabilities,0.47861629724502563,False
DeferredIncomeTaxExpenseBenefitExcludingShareBasedPaymentShortfall,Expenses,Expenses,0.5052227973937988,True
EffectiveIncomeTaxRateReconciliationNonTaxableEntities,Income,Income,0.6363542079925537,True
PriorYearClaimsandClaimsAdjustmentExpenseIncreaseDecreaseinPremiumEstimates,Expenses,Expenses,0.8573454022407532,True
ScheduleOfPropertyPlantAndEquipmentZeroThreeFiveTwoFourZeroySixwHGLLFourckSixR,Assets,Assets,0.33801934123039246,True
LessForeignTranslationAdjustmentPropertyPlantAndEquipment,Assets,Assets,0.5706661343574524,True
Warrantliabilityfairvalue,Liabilities,Liabilities,0.8383112549781799,True
DividendsPaidtoNoncontrollingInterest,Equity,Other,0.47846201062202454,False
ConvertiblePreferredStockTermsofConversionOptionalConversiontoCommonUnitsVolumeWeightedAveragePriceofCommonUnitsDollarvalue,Equity,Other,0.2706187963485718,False
ConvertiblePromissoryNotesZeroThreeFiveThreeSixFourZeroThreeSixbGOneVOneZeroFourTNLBy,Other,Cost,0.23838284611701965,False
ExpenseIncomeOnOperationsOfOtherRealEstate,Expenses,Other,0.33750274777412415,False
ScheduleOfSegmentReportingInformationlossIncomeFromOperationsBySegmentZeroThreeFiveZeroNineFourZeroZeroSevenWlvThreeFivesNineFivecZWx,Other,Income,0.692259669303894,False
ConvertibleNotesPayableRelatedPartyDebtDiscount,Liabilities,Other,0.6093057990074158,False
USTreasurySecuritiesAndMoneyMarketFundsFairValueDisclosure,Assets,Assets,0.2778451442718506,True
Liquidity,Other,Other,0.1666051149368286,True
StockGrantedValueSharebasedCompensationForfeitedTaxBenefit,Equity,Equity,0.2694247364997864,True
AccountsPayableToRelatedPartiesPayment,Liabilities,Other,0.8158413767814636,False
CommonSharesIssuedInConnectionWithTheConversionOfThe10SeniorConvertibleNotesAndAccruedInterestThereonValue,Equity,Equity,0.3767133951187134,True
EquityMethodInvestmentsOtherActivityNet,Assets,Equity,0.418264776468277,False
ScheduleOfWarrantsAndStockOptionsActivityZeroThreeFiveTwoFourFourZeroTwoOneTwoPMBdbTwoNEightlsw,Equity,Other,0.14745274186134338,False
StockOptionsInSubsidiaryGrantedAndVestedToEmployeesDirectorsAndConsultants,Equity,Assets,0.42003631591796875,False
ExpendituresForRealEstateDevelopment,Other,Expenses,0.5808035731315613,False
StockIssuedDuringPeriodValueIssuedForVendorContractTermination,Equity,Cost,0.2625930607318878,False
BeneficialConversionFeaturesSetUpAsDebtDiscount,Liabilities,Cost,0.2720402479171753,False
CompanyAlsoHadADemandLoanPayableOutstandingInThePrincipalAmount,Liabilities,Other,0.26042529940605164,False
ShareBasedCompensationExpenseRecognizedInOperatingExpense,Cost,Expenses,0.8114315867424011,False
TemporaryEquityDividendsPayablePaidInKind,Liabilities,Equity,0.8495814800262451,False
AmortizationOfIntangibleAssets,Expenses,Assets,0.3997880816459656,False
CostOfProductSalesExcludingAmortizationOfAcquiredDevelopedTechnologyAndIntangibleAssetImpairment,Revenue,Cost,0.5358235239982605,False
AsbestosRelatedInsuranceReceivablesNoncurrent,Assets,Other,0.48094239830970764,False
AllowanceForLossesOnReceivablesSpecificallyEvaluatedForImpairment,Expenses,Revenue,0.3462941646575928,False
FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetPeriodIncreaseDecrease,Assets,Assets,0.8761188983917236,True
SignificantVendor,Other,Income,0.20318029820919037,False
CommitmentsZeroThreeFiveFourNineFourZeroFourFivegwwrJxvQOnePCL,Other,Cost,0.25130122900009155,False
VariableInterestEntityConsolidatedCarryingAmountPropertyNet,Assets,Assets,0.3487372398376465,True
ScheduleOfDeferredGovernmentGrantsZeroThreeFiveThreeEightZerohkBSevenTwoCsFourZSevenZeroSix,Liabilities,Other,0.19275136291980743,False
CashlessConversionOfWarrants,Assets,Cost,0.3582454323768616,False
ScheduleOfDisclosureOfSharebasedCompensationArrangementsBySharebasedPaymentAwardZeroThreeFiveThreeThreeZeroEightNineFiveThreeqdkWvEighttG,Cash Flow,Income,0.2034001648426056,False
Aep_ProceedsFromSaleOfMerchantGenerationAssets,Assets,Assets,0.8062359094619751,True
CostAndEstimatedEarningsInExcessOfBillings,Other,Cost,0.6893023252487183,False
DistributionsPayableToGeneralPartner,Liabilities,Cost,0.19480858743190765,False
PaymentforRepurchasesofStockforBenefitPlan,Equity,Cost,0.30405962467193604,False
PrincipalActivitiesBasisOfPresentationAndOrganizationZeroThreeFiveThreeEightZeroSevenSixdFJdTtbWTV,Other,Assets,0.1438244730234146,False
InformationTechnologyConversionCosts,Expenses,Cost,0.7299139499664307,False
EffectiveIncomeTaxRateReconciliationNondeductibleInterestAmount,Income,Income,0.8298125863075256,True
WorkingCapitalNet,Equity,Cost,0.26644086837768555,False
ReserveFacilityClosingsAndLeaseTerminationInterestAccretion,Other,Liabilities,0.195999413728714,False
TradingAdvisorsIncentiveFees,Other,Cost,0.24742144346237183,False
CertainLoansAcquiredInTransferAccountedForAsDebtSecuritiesRightToCallOrPrepayTheObligationsEstimatedFairValue,Assets,Liabilities,0.45205262303352356,False
OrganizationAndBusinessBackgroundZeroThreeFiveThreeFourZeroMPgOneZSixsgGFGv,Other,Other,0.18982616066932678,True
StockIssuedDuringPeriodValuesOnConversionOfNotesPayableTwentyOne,Liabilities,Cost,0.29659605026245117,False
IncreaseDecreaseInAccruedDistributions,Other,Assets,0.1801709085702896,False
Averageleaseterm,Other,Equity,0.20746955275535583,False
DeferredRentAndOtherLongTermLiabilitiesNoncurrent,Liabilities,Liabilities,0.6124754548072815,True
TaxRateDifferentialBetweenJuristictions,Other,Cost,0.3795079290866852,False
IncreaseNumberOfSharesThatMayBeIssued,Equity,Equity,0.27073317766189575,True
SubsidiaryRevenue,Revenue,Revenue,0.6089246869087219,True
PercentageChangeOfNetWrittenPremiums,Other,Revenue,0.2748623490333557,False
NumberOfSuccessiveFiveYearTerms,Other,Income,0.15239317715168,False
BusinessCombinationContingentConsiderationLiabilityEquity,Liabilities,Equity,0.7325677871704102,False
DeferredSalesInducementsAmortizationExpenseNetInvestmentGainsLosses,Revenue,Expenses,0.7218829989433289,False
SecondQuarterNetIncomeLossFromDiscontinuedOperations,Income,Income,0.44276687502861023,True
RegulatoryAssetsRenewableEnergyRecovery,Assets,Assets,0.8542341589927673,True
ProvisionForIncomeTaxesZeroThreeFiveThreeSixZeroMhTkDmPLtNineDh,Income,Income,0.7404752969741821,True
TreasuryStockSharesROI,Equity,Revenue,0.4238460063934326,False
MaximumPercentageOfEquityInterestOfSubsidiariesBorrowingsGuaranteed,Equity,Equity,0.6915228366851807,True
DistributionMadeUnderCapitalGain,Equity,Other,0.20469628274440765,False
EstimatedFairValueOfWarrantLiabilityRemeasurementCharge,Liabilities,Liabilities,0.7223925590515137,True
CapitalStockZeroThreeFiveFourNineFourZeroFourFiveLKKEightgnzOneOneThreeXNine,Equity,Cost,0.6312270760536194,False
TierOneRiskBasedCommonCapitalRequiredForCapitalAdequacy,Equity,Cost,0.2237113118171692,False
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingInPeriodGrantDateIntrinsicValue,Cash Flow,Assets,0.17362923920154572,False
RegulatoryAccountingPrinciplesNetLoss,Income,Liabilities,0.2902180552482605,False
ImpairmentofLoansHeldforSale,Expenses,Liabilities,0.33215224742889404,False
OrganizationAndSummaryOfSignificantAccountingPoliciesZeroThreeFiveZeroFourZerofgSmXPgTyrSixD,Other,Assets,0.20375540852546692,False
BusinessCombinationRecognizedIdentifiableAssetsAcquiredandLiabilitiesAssumedTenantOriginationandAbsorptionCostsIntangibles,Expenses,Assets,0.4362504482269287,False
ForeignExchangeGainLossOnIntercompanyDebt,Liabilities,Liabilities,0.4160752594470978,True
