tag,category
PercentageOfDiscountToAverageCommonStockPeriodPriorToConversion,Equity
FairValueAssetNetDerivativeAssetLiabilityMeasuredOnRecurringBasisUnobservableInputsReconciliationSales,Revenue
InventoryCurrentNoncurrent,Assets
NuclearFuel,Other
ClassOfWarrantOrRightExpiredInPeriod,Other
DerivativeAssetsNoncurrentGross,Assets
DerivativeLiabilityNettingAdjustment,Liabilities
CommonStockConversionPrincipalAmount,Equity
NumberOfOfficeBuildingsOwned,Other
CertificateOfferingMinimalInvestment,Assets
PromissoryNoteCancelled,Other
ProceedsReceivableFromFurnitureFixturesAndEquipmentDisposal,Assets
CarriedInterest,Other
SharesIssuesForServices,Equity
AggregatesHeldForResaleInventory,Assets
DeferredTaxAssetsNetOfRevenueRecognition,Revenue
EarningsPerUnitBasic,Other
IncreaseRateAnnual,Other
ProvisionForLoanLossesOnOriginatedLoansExpensed,Expenses
TaxBenefitExpenseFromShareBasedCompensationFinancingActivities,Expenses
NumberOfOutstandingLettersOfCredit,Other
RentalProductNet,Other
ReclassOfFairValueOfWarrantyLiabilityToCommonStockUponExerciseOfWarrants,Liabilities
AccruedVacationAndBonus,Other
FinancingReceivablewithNoRelatedAllowanceUnpaidPrincipalBalance,Assets
RealEstateNet,Other
EventsCostOfRevenues,Revenue
NumberOfVesselsInConstruction,Other
SharebasedCompensationArrangementBySharebasedPaymentAwardEquityInstrumentsOtherThanOptionsOutstanding,Equity
InstantExchangeRateTwd,Other
FormationLoanYearFive,Other
ConversionOfRelatedPartyNoteToPreferredStock,Equity
PayableForAcquisitionNonCurrent,Liabilities
CommonStockCapitalSharesReservedforFutureIssuanceStockWarrantsExercised,Equity
UnrecognizedTaxBenefitsPeriodIncreaseDecrease,Other
EquityZeroThreeFiveThreeThreeZeroLdSkkpcPNmSixT,Equity
Intercompanyassets,Assets
OffBalanceSheetLoanCommitmentsEvaluatedForImpairment,Expenses
AccretionExpenseDueToGoldenPostPrefStock,Expenses
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsExpiredWeightedAverageExercisePrice,Equity
VariableInterestEntityConsolidatedAssetsToSettlementObligationsExceptRegisteredCapital,Assets
Totalassets,Assets
NumberofVariableInterestJointVentures,Other
RelatedPartyBaseFeeDueAfterFifthYear,Other
SignificantAccountingPoliciesZeroThreeFiveThreeSixZeroykTJStwCBPtFive,Other
ClinicalTrialExpenses,Expenses
TaxAssessmentsWithInterest,Other
BankNotesDiscount,Other
DebtInstrumentRepaymentRateRevenueContingencyThereafter,Revenue
NumberOfSecuritiesInContinuousUnrealizedLossPosition,Assets
PeriodOverPriorYearPeriodPercentIncreaseDecreaseFeesAndOtherRevenue,Revenue
PreferredStockWarrantLiabilities,Liabilities
InvestmentAccountedForByEquityMethod,Assets
DisposalGroupIncludingDiscontinueOperationOperatingIncomeLoss,Income
ExerciceOfStockOptionPlanValue,Equity
StockIssuedDuringPeriodValueConversionOfConvertibleSecurities1,Assets
OtherIncomeTotal,Other
FixedConvertibleNotesPayableCurrent,Liabilities
AdditionalPaidinCapitalSharePremiumAccount,Equity
NumberOfSharesPreviouslyAccruedForButReversed,Equity
NoncashOrPartNoncashAcquisitionIntangibleAssetsAcquired,Assets
InterestInJointVenture,Other
GainsLossesOnRepossessedAndForeclosedProperties,Other
CertainLoansAcquiredInTransferNotAccountedForAsDebtSecuritiesAllowanceForLoanLossesReductionsFromPaymentsAndLiquidations,Assets
OtherThanTemporaryImpairmentLossesInvestmentsPortionRecognizedInEarningsNetDebtSecurities,Expenses
BuildingsFurnitureAndImprovements,Other
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsAndStockAppreciationRightsCancelledInPeriodWeightedAverageExercisePrice,Equity
UnearnedPremiumDirect,Other
DepositsOfCashOutsideDomesticCountry,Assets
ExchangeRatioAmountGreater,Other
CommonStockCapitalValueReservedForFutureIssuance,Equity
AccountsPayableSettledWithRestrictedCash,Assets
MarketValuationAdjustmentsNet,Other
PercentageOfRevenueByMajorCustomer,Revenue
StockOptionsAndWarrantsZeroThreeFourNineOneZeromCzpREightTwoGXLQTwo,Equity
Note9Interest,Other
ProceedsFromIssuanceOfCommonStockDividendReinvestmentPlan,Assets
IncreaseDecreaseInDepositsAndPrepaidExpenses,Expenses
ClassOfWarrantOrRightJanuaryPrivatePlacement,Other
ConvertibleNotesPayableExcludingRelatedParties,Liabilities
Increaseintaxreceivableagreementliabilityrelatedtoquarterlyexchangebymemberownerssharebasedcompensation,Assets
MajorSuppliersAndCustomersZeroThreeFourNineNineThreeNineNineEightrzTwoOneQFivefyzZeroMJ,Other
GainsLossesAndProvisionsOnOtherRealEstate,Other
StockBasedCompensationZeroThreeFiveOneNineZeroDzFiveFivemSixcOneFTwSix,Equity
DerivativeLiabilityCollateralRighttoReclaimSecuritiesandCashOffset,Assets
MortgageLoanParticipationAndSaleAgreement,Other
ScheduleOfSharebasedCompensationStockOptionsActivityZeroThreeFourEightEightThreeNineEightNinexgdBGpyWFGwh,Equity
NumberOfIndividualCustomersAccountingForMoreThanTenPercentOfRevenue,Revenue
OperatingCostsAndExpensesOtherThanDepreciationAndRestructuring,Expenses
DeferredGainOnSaleOfRealEstateCurrent,Liabilities
RepurchasedSharesFromVestedStockAwards,Equity
GainLossFromInvestmentActivitiesNet,Assets
FinancialExpensesLoss,Expenses
InstallmentLoans,Other
CostOfClinicalEngineeringSolutions,Other
CumulativeNetOperatingLoss,Other
CharterHireCommissionPercentage,Other
IncreaseDecreaseInDueToRelatedParties,Other
ScheduleOfSegmentReportingInformationBySegmentZeroThreeFiveOneNineZeroSevenThreecFivelHwCnDcC,Other
LimitedPartnersCapitalAccountUnitsInitiallyAuthorized,Equity
LegalFeesLgCapitalFundingLlc2,Equity
PrepaidSoftwareandSupport,Other
Debenture2,Other
PrivateEquityGeneralandAdministrativeExpensesAdvancedonBehalfofaFortressFunds,Expenses
DeferredOrdinarySharesAuthorized,Liabilities
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedAssetRetirementObligations,Assets
ConversionsOfExchangeNotes,Other
ProceedsFromSaleOfConsumerLoansHeldForSale,Cash Flow
FederalDepositInsuranceCorporationAndOtsoccAssessments,Other
ConvertibleNotesPayablePrincipalBalanceConversions,Liabilities
EquityZeroThreeFiveZeroNineFourZeroZeroSevenRPzwEightNineTPpLkG,Equity
DeferredIncomeTaxRecovery,Liabilities
CommonStockZeroThreeFourNineEightZerocHpwgNinebQKFivepW,Equity
DerivativeAssetBeforeEffectsOfMasterNettingArrangementsCurrent,Assets
DeferredPolicyAcquisitionCostsPeriodIncreaseDecrease,Expenses
GrossManagementFee,Other
RestrictedCashRelatedtoProceedsfromLongtermDebt,Assets
ScheduleOfSummaryOfConvertiblePromissoryNoteZeroThreeFiveThreeSixFourZeroThreeSixWFcdTwodFQBqcv,Other
PriorYearLossDevelopment,Other
DeferredIncomeTaxExpenseBenefitExcludingShareBasedPaymentShortfall,Expenses
EffectiveIncomeTaxRateReconciliationNonTaxableEntities,Income
PriorYearClaimsandClaimsAdjustmentExpenseIncreaseDecreaseinPremiumEstimates,Expenses
ScheduleOfPropertyPlantAndEquipmentZeroThreeFiveTwoFourZeroySixwHGLLFourckSixR,Assets
LessForeignTranslationAdjustmentPropertyPlantAndEquipment,Assets
Warrantliabilityfairvalue,Liabilities
DividendsPaidtoNoncontrollingInterest,Equity
ConvertiblePreferredStockTermsofConversionOptionalConversiontoCommonUnitsVolumeWeightedAveragePriceofCommonUnitsDollarvalue,Equity
ConvertiblePromissoryNotesZeroThreeFiveThreeSixFourZeroThreeSixbGOneVOneZeroFourTNLBy,Other
ExpenseIncomeOnOperationsOfOtherRealEstate,Expenses
ScheduleOfSegmentReportingInformationlossIncomeFromOperationsBySegmentZeroThreeFiveZeroNineFourZeroZeroSevenWlvThreeFivesNineFivecZWx,Other
ConvertibleNotesPayableRelatedPartyDebtDiscount,Liabilities
USTreasurySecuritiesAndMoneyMarketFundsFairValueDisclosure,Assets
Liquidity,Other
StockGrantedValueSharebasedCompensationForfeitedTaxBenefit,Equity
AccountsPayableToRelatedPartiesPayment,Liabilities
CommonSharesIssuedInConnectionWithTheConversionOfThe10SeniorConvertibleNotesAndAccruedInterestThereonValue,Equity
EquityMethodInvestmentsOtherActivityNet,Assets
ScheduleOfWarrantsAndStockOptionsActivityZeroThreeFiveTwoFourFourZeroTwoOneTwoPMBdbTwoNEightlsw,Equity
StockOptionsInSubsidiaryGrantedAndVestedToEmployeesDirectorsAndConsultants,Equity
ExpendituresForRealEstateDevelopment,Other
StockIssuedDuringPeriodValueIssuedForVendorContractTermination,Equity
BeneficialConversionFeaturesSetUpAsDebtDiscount,Liabilities
CompanyAlsoHadADemandLoanPayableOutstandingInThePrincipalAmount,Liabilities
ShareBasedCompensationExpenseRecognizedInOperatingExpense,Cost
TemporaryEquityDividendsPayablePaidInKind,Liabilities
AmortizationOfIntangibleAssets,Expenses
CostOfProductSalesExcludingAmortizationOfAcquiredDevelopedTechnologyAndIntangibleAssetImpairment,Revenue
AsbestosRelatedInsuranceReceivablesNoncurrent,Assets
AllowanceForLossesOnReceivablesSpecificallyEvaluatedForImpairment,Expenses
FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetPeriodIncreaseDecrease,Assets
SignificantVendor,Other
CommitmentsZeroThreeFiveFourNineFourZeroFourFivegwwrJxvQOnePCL,Other
VariableInterestEntityConsolidatedCarryingAmountPropertyNet,Assets
ScheduleOfDeferredGovernmentGrantsZeroThreeFiveThreeEightZerohkBSevenTwoCsFourZSevenZeroSix,Liabilities
CashlessConversionOfWarrants,Assets
ScheduleOfDisclosureOfSharebasedCompensationArrangementsBySharebasedPaymentAwardZeroThreeFiveThreeThreeZeroEightNineFiveThreeqdkWvEighttG,Cash Flow
Aep_ProceedsFromSaleOfMerchantGenerationAssets,Assets
CostAndEstimatedEarningsInExcessOfBillings,Other
DistributionsPayableToGeneralPartner,Liabilities
PaymentforRepurchasesofStockforBenefitPlan,Equity
PrincipalActivitiesBasisOfPresentationAndOrganizationZeroThreeFiveThreeEightZeroSevenSixdFJdTtbWTV,Other
InformationTechnologyConversionCosts,Expenses
EffectiveIncomeTaxRateReconciliationNondeductibleInterestAmount,Income
WorkingCapitalNet,Equity
ReserveFacilityClosingsAndLeaseTerminationInterestAccretion,Other
TradingAdvisorsIncentiveFees,Other
CertainLoansAcquiredInTransferAccountedForAsDebtSecuritiesRightToCallOrPrepayTheObligationsEstimatedFairValue,Assets
OrganizationAndBusinessBackgroundZeroThreeFiveThreeFourZeroMPgOneZSixsgGFGv,Other
StockIssuedDuringPeriodValuesOnConversionOfNotesPayableTwentyOne,Liabilities
IncreaseDecreaseInAccruedDistributions,Other
Averageleaseterm,Other
DeferredRentAndOtherLongTermLiabilitiesNoncurrent,Liabilities
TaxRateDifferentialBetweenJuristictions,Other
IncreaseNumberOfSharesThatMayBeIssued,Equity
SubsidiaryRevenue,Revenue
PercentageChangeOfNetWrittenPremiums,Other
NumberOfSuccessiveFiveYearTerms,Other
BusinessCombinationContingentConsiderationLiabilityEquity,Liabilities
DeferredSalesInducementsAmortizationExpenseNetInvestmentGainsLosses,Revenue
SecondQuarterNetIncomeLossFromDiscontinuedOperations,Income
RegulatoryAssetsRenewableEnergyRecovery,Assets
ProvisionForIncomeTaxesZeroThreeFiveThreeSixZeroMhTkDmPLtNineDh,Income
TreasuryStockSharesROI,Equity
MaximumPercentageOfEquityInterestOfSubsidiariesBorrowingsGuaranteed,Equity
DistributionMadeUnderCapitalGain,Equity
EstimatedFairValueOfWarrantLiabilityRemeasurementCharge,Liabilities
CapitalStockZeroThreeFiveFourNineFourZeroFourFiveLKKEightgnzOneOneThreeXNine,Equity
TierOneRiskBasedCommonCapitalRequiredForCapitalAdequacy,Equity
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingInPeriodGrantDateIntrinsicValue,Cash Flow
RegulatoryAccountingPrinciplesNetLoss,Income
ImpairmentofLoansHeldforSale,Expenses
OrganizationAndSummaryOfSignificantAccountingPoliciesZeroThreeFiveZeroFourZerofgSmXPgTyrSixD,Other
BusinessCombinationRecognizedIdentifiableAssetsAcquiredandLiabilitiesAssumedTenantOriginationandAbsorptionCostsIntangibles,Expenses
ForeignExchangeGainLossOnIntercompanyDebt,Liabilities
WeightedAverageNumberOfSharesOutstandingTotal,Equity
EquityMethodInvestmentSummarizedFinancialInformationNetInvestmentInProperties,Assets
PreconfirmationIntangibleAssetsNet,Assets
SecuritiesLoanedRateRequiredOfCollateralAsPercentOfMarketValueOfLoansSecurities,Assets
CommittmentsToExtendCredit,Other
NoncashInvestingAndFinancingItemsTotal,Assets
OperatingLeasesTypicalNumberOfLeaseRenewalOptions,Other
NonCashAdjustmentDerivativeFairValue,Assets
CommitmentsSignificantContractsAndContingenciesZeroThreeFourNineSixZerovHNzRDWSGhSevenZ,Other
NetPurchasesProceedsFromSalesOfMoneyMarketFunds,Revenue
IncomeTaxesPreferentialIncomeTaxRateAdvancedAndNewTechnologyEnterprises,Income
AmortizationofotherfairvalueadjustmentsnetarisingontheMerger,Expenses
LoanBalanceForReviewingHighRiskLoansMinimum,Other
GuaranteeObligationsCurrentCarryingValue,Liabilities
OwnershipControlPercentageWithDisputesResolvedThroughArbitration,Other
AccruedSoftwareLicenseFees,Other
RecoveriesOfPreproductionCostsRelatedToLongTermSupplyAgreements,Expenses
AccruedInformationTechnologySystemAndInfrastructureImplementationCurrent,Other
TheValuationAllowance_MarchWas,Other
BusinessCombinationBargainPurchaseGainRecognizedAmount,Other
AccountsPayableCurrentSubjectToThirdPartyService,Liabilities
IncrementalWeightedAverageCommonSharesAttributableToConversionOfOpUnits,Equity
NetAmountsOfLiabilitiesPresentedInStatementOfFinancialPosition,Liabilities
EquityZeroThreeFourEightEightThreeNineEightNineFOnePXFiveNzKNinebvFive,Equity
NetAssetsRestrictedToTransfer,Assets
PercentageOwnership,Other
StockBasedCompensationRelatedToStockOptions,Equity
TemporaryEquityInterestInSubsidiaryEarnings,Equity
WorkingCapitalDeficit1,Equity
DepositsIntercompany,Other
EffectiveIncomeTaxRateReconciliationUnrecognizedTaxBenefitsPercent,Income
AvailableForSaleSecuritiesInUnrealizedLossPositionsTwelveMonthsOrLongerQualitativeDisclosureNumberOfPositions,Revenue
AccumulatedOtherComprehensiveIncomeLossCumulativeChangesInNetGainLossFromCashFlowHedgeEffectBeforeTax,Assets
StockRepurchaseProgramCumulativeSharesRepurchased,Equity
AnnualExcessCoverage,Other
AllowanceforShipAndDebit,Other
NoncashCapitalizedSoftwareAdditions,Assets
RealEstateCostOfRealEstateSoldNetOfGainLoss,Other
OtherLongTermLiabilities,Liabilities
NumberOfCommonShares,Equity
NumberOfInvestorsCompensationExpenseWasProvidedtoParentCEOBy,Expenses
MinedTonnageStockpiled,Equity
ShareBasedCompensationNoncontrollingInterestEquityBasedAwards,Equity
AccruedMunicipalSurcharge,Other
NonInvestmentRevenue,Revenue
SharesEarnedAndIssuableUnderCompensationPlans,Equity
TermLoanInterestPaymentsMade,Cash Flow
VolumeOfStorageLagoon,Other
ScheduleOfDisclosureOfSharebasedCompensationArrangementsBySharebasedPaymentAwardZeroThreeFiveThreeThreeZeroOnenxFournxCJSixZerofNine,Cash Flow
AvailableforsaleSecuritiesDebtMaturitiesRollingYearTwoThroughFiveAmortizedCostBasisPercent,Revenue
CostofGoodsSoldNewEquipmentSales,Revenue
DeferredTaxAssetsPropertyPlantAndEquipmentNoncurrent,Assets
LossOnConversionOfWarrantLiabilityToStock,Liabilities
DiscountedCashFlowMethodologyNumberOfPayments,Assets
AmountRelatedToInterestRateHedgesOnCertainUnsecuredLongTermBorrowingsMaturingInYearSix,Other
AccruedDrillingAndFacilityCosts,Expenses
LiabilityClassifiedShareUnits,Liabilities
TotalAnnualGrossRevenueonLastDayofFiscalYearBasedonWhichEntityWillCeaseStatusofEmergingGrowthCompany,Revenue
AccumulatedOtherComprehensiveIncomeTranslationGainLossOnNetInvestmentHedgeTax,Assets
GeneralPartnersCapitalDeficit,Equity
AdvancePaymentsAndOthersToUnrelatedParties,Cash Flow
ExpensesBeforeIncentiveFeesToAverageNetAssets,Expenses
FinancingReceivableModificationCombination,Assets
RetirementOfStockholderNotesReceivableNetOfIssuance,Assets
GoodwillAdditionsFromAcquisitions,Assets
GainLossOnDispositionOfAssetsHeldForSale,Assets
ScheduleOfConvertibleDebtZeroThreeFourEightEightThreeNineEightNinebKZeroQFHmNVkfx,Liabilities
Unrealizedlosspositionforavailableforsaleandheldtomaturitysecuritiesinacontinuouslosspositionforlessthan12months,Assets
MinimumInitialCapitalizationSaleOfShares,Equity
PercentagesOfForeignOperationsConsolidatedRevenue,Revenue
ScheduleOfChangesToValuationAllowanceForDeferredTaxAssetsZeroThreeFiveTwoFiveZerozwSevenSixZcTwowFourJTOne,Assets
MultiemployerPlansMinimumContributionRate,Other
DonationOfCommonStock,Equity
RestructuringChargesOperatingActivities,Other
ConvertibleLoanAgreementsZeroThreeFiveZeroThreeZeroKdNxqpfzlzWL,Other
IncreaseDecreaseInLongTermDepositsClassifiedAsInvestingActivities,Other
DeferredIncentiveIncomeMaturedDistributedGross,Liabilities
WeightedAveragePriceOfAntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShare,Assets
AmortizationYearTwo,Expenses
CumulativeAmountOfUnpaidInterestOnImpairedLoans,Other
AdvancesFromRelatedPartiesPayment,Cash Flow
ProceedsFromSaleOfStockHeldByStockEmployeeCompensationTrust,Equity
AccountsReceivableUnbilledandRetainage,Assets
SitesOnSuperfundNationalPrioritiesList,Other
ScheduleOfSummaryOfConvertiblePromissoryNoteZeroThreeFiveThreeSixFourZeroThreeSixkqTmnmTmThreeKXx,Other
LongLivedAssetsHeldForUse,Assets
AdjustmentsToAdditionalPaidInCapitalDeferredTaxAsset,Assets
UnrealizedGainLossOnDerivativesFairValueAdjustment,Other
ScheduleOfDisclosureOfSharebasedCompensationArrangementsBySharebasedPaymentAwardZeroThreeFiveThreeThreeZerostTNineEightFiveQkyRVq,Cash Flow
FairValueMeasurementsCarriedForwardFromPriorPeriodEnded,Other
CapitalLeaseObligationsDiscountRemainderOfFiscalYear,Liabilities
EmployeeStockPurchasePlanEmployeeMaximumContributionOfAnnualEarningsPerParticipantPercentage,Equity
NetIncomeLossBeforeEarningsOfConsolidatedSubsidiaries,Income
TimeSharingTransactionsAllowanceForUncollectibleAccounts,Other
RestructuringAccrualExpectedToPayInNextTwelveMonth,Other
GoodwillImpairmentTestExpectedControlPremium,Expenses
ConstructionCostsTransferredDuringPeriod,Expenses
ConvertibleDebtNoncurrent,Liabilities
ScheduleOfSharebasedCompensationStockOptionsAndWarrantsOrRightsActivityZeroThreeFourEightOneThreeNineEightTwoMLGbkEightKOneBMdT,Equity
DeferredTaxAssetsValuationAllowanceOnRemainingAsset,Assets
LineofCreditFacilityRemainingBorrowingCapacityAfterCovenantRestrictions,Other
RangeOfExercisePrices021049WarrantsOutstandingAverageRemainingContractualLifeInYears,Other
SubleasesFutureRentalIncomeDueinThreeYears,Other
FiniteLivedIntangibleAssetsRentalIncomeIncreaseDecreaseYearThree,Assets
PaymentsForDividendsToPreferredUnitholders,Equity
NumberofSubsidiariesTaxableasaCorporation,Other
RevenueFromHostedAndRelatedServices,Revenue
LossContingencyClassActionLawsuit,Other
AdjustmentsToAdditionalPaidInCapitalSettlementOfDerivativeLiability,Liabilities
DeferredCommissionNoncurrent,Liabilities
InterestExpenseOtherContraExpense,Expenses
ScheduleOfFairValueAssetsAndLiabilitiesMeasuredOnRecurringBasisZeroThreeFiveFourFourZeroFWOnevVKBWFTwoLw,Assets
EquityZeroThreeFourEightEightThreeNineEightNinebFourGRKFoursTEighthZS,Equity
IncreaseDecreaseServiceContractRelatedParties,Other
TotalRealizedandDeferredGainLossonDisposal,Liabilities
IncomeLossFromContinuingOperationsPerDilutedShare,Other
NonParticipatingManufacturerAdditionalAdjustmentCreditsRecognized,Other
ThirdQuarterOperatingExpense,Cost
ConvertibleDebenturesNetOfDiscountCurrent,Other
ValuationCapByTheFullyDilutedNumberOfShares,Equity
CommercialRevenuesRecognizedUponDeliveryGross,Revenue
FederalAndStateIncomeTaxesPayable,Liabilities
InterestNotes,Other
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsVestedAndRedeemedWeightedAverageGrantDateFairValue,Equity
AccumulatedLossesOfInvestee,Other
RecallsAndOtherSafetyMeasuresAccrualPayments,Cash Flow
DepositsAssetsCurrentTotal,Assets
LessTaxTaxBenefit,Other
PaymentstoAcquireTimeDeposits,Cash Flow
DerivativeCashReceivedPaidOnHedge,Assets
NoncashorPartNoncashDistributionsPayable,Assets
FinancingReceivableModificationsRecordedInvestmentNotIncludedInNonAccrual,Assets
ServiceAgreementServicesProvided,Other
DueToSubsidiariesCurrent,Other
ScheduleOfFairValueOfDerivativeLiabilityRelatedToWarrantsZeroThreeFiveZeroNineFourZeroZeroSevenTzSevenFivetHtpsZeronw,Liabilities
DebtInstrumentCollateralPercentage,Liabilities
